epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4652305841445923,0.0010000000474974513,1.6128565073013306,0.6853197813034058,0.9171754121780396
1,0.7547352910041809,0.0010000000474974513,0.7204923629760742,0.8256947994232178,0.5140604972839355
2,0.8395459055900574,0.0010000000474974513,0.47588446736335754,0.8515358567237854,0.4371093809604645
3,0.8791889548301697,0.0010000000474974513,0.35645514726638794,0.8651877045631409,0.430607408285141
4,0.9080864787101746,0.0010000000474974513,0.2705795466899872,0.8907849788665771,0.34690061211586
5,0.925934910774231,0.0010000000474974513,0.21571046113967896,0.9039493203163147,0.3198244571685791
6,0.9483365416526794,0.0010000000474974513,0.1570335179567337,0.914675772190094,0.28415408730506897
7,0.954103946685791,0.0010000000474974513,0.13832098245620728,0.9158946871757507,0.3330170810222626
8,0.9601748585700989,0.0010000000474974513,0.12024462223052979,0.9156509041786194,0.31936031579971313
9,0.9674599170684814,0.0010000000474974513,0.09750257432460785,0.9080936312675476,0.3836146593093872
10,0.9904686808586121,0.0005000000237487257,0.032535284757614136,0.9285714030265808,0.34457188844680786
11,0.9914399981498718,0.0005000000237487257,0.026907216757535934,0.9241833090782166,0.38108453154563904
